tundra,tundra,taiga,taiga,Temp_deciduous_forest,Temp_deciduous_forest,temp_grassland_desert,temp_grassland_desert,Savanna,Savanna,Subtropical_desert,Subtropical_desert,Tropical_seasonal_forest,Tropical_seasonal_forest,Tropical_rainforest,Tropical_rainforest,temperate_coniferous_forest,temperate_coniferous_forest
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-14.49388209,15.36723164,-2.703003337,121.5819209,3.83759733,161.8079096,-7.641824249,7.683615819,19.63292547,125.6497175,-7.86429366,6.779661017,19.810901,233.6723164,19.810901,233.220339,3.793103448,160.9039548
-14.2269188,19.88700565,-1.590656285,138.3050847,4.638487208,176.7231638,-6.351501669,16.27118644,29.44382647,106.6666667,15.62847608,29.83050847,19.63292547,125.6497175,21.27919911,345.3107345,3.926585095,173.559322
-13.78197998,23.95480226,-0.43381535,151.8644068,5.127919911,184.4067797,-3.236929922,29.83050847,29.37708565,99.88700565,21.45717464,33.44632768,29.42157953,107.1186441,23.10344828,388.700565,4.416017798,183.0508475
-13.11457175,27.11864407,0.85650723,164.9717514,5.483870968,188.4745763,0.367074527,40.2259887,29.243604,91.29943503,22.52502781,34.80225989,28.70967742,279.7740113,23.32591769,393.6723164,4.905450501,192.5423729
-12.35817575,28.47457627,2.413793103,182.1468927,6.59621802,194.3502825,3.125695217,51.07344633,29.06562848,82.71186441,23.77085651,37.06214689,28.39822024,274.3502825,23.41490545,398.6440678,5.52836485,204.7457627
-11.64627364,30.96045198,3.748609566,194.3502825,11.93548387,211.9774011,7.085650723,71.41242938,28.93214683,75.02824859,24.83870968,39.7740113,28.22024472,269.8305085,23.63737486,406.3276836,6.729699666,214.6892655
-11.06785317,33.89830508,5.483870968,204.7457627,19.76640712,234.1242938,11.80200222,96.72316384,28.70967742,67.79661017,25.7730812,42.93785311,28.04226919,266.2146893,23.77085651,410.8474576,8.598442714,226.440678
-10.40044494,36.61016949,4.505005562,187.5706215,19.54393771,128.8135593,19.54393771,127.4576271,28.48720801,64.18079096,26.39599555,47.00564972,27.64182425,262.1468927,23.90433815,416.9491525,9.977753059,235.9322034
-9.733036707,41.1299435,3.748609566,160.4519774,11.84649611,97.17514124,19.49944383,99.43502825,28.2647386,60.11299435,27.15239155,51.07344633,27.33036707,258.9830508,24.06006674,423.0508475,11.40155729,244.9717514
-8.843159066,47.90960452,3.437152392,136.0451977,7.174638487,72.31638418,19.01001112,60.11299435,27.95328142,56.94915254,27.86429366,56.94915254,26.88542825,256.7231638,24.30478309,428.4745763,12.73637375,255.819209
-7.641824249,58.30508475,3.437152392,116.6101695,3.125695217,50.16949153,18.74304783,53.78531073,27.59733037,53.78531073,28.44271413,61.92090395,26.48498331,254.4632768,24.48275862,432.5423729,14.16017798,265.7627119
-7.063403782,63.27683616,3.259176863,90.84745763,1.390433815,44.74576271,18.38709677,49.71751412,27.19688543,51.07344633,28.7541713,68.70056497,26.04004449,252.6553672,24.74972191,437.0621469,15.36151279,277.0621469
-4.660734149,93.10734463,3.170189099,77.28813559,1.835372636,53.33333333,17.94215795,44.74576271,26.61846496,47.00564972,29.02113459,77.28813559,25.59510567,250.8474576,25.15016685,441.1299435,16.65183537,289.2655367
-2.614015573,123.8418079,2.502780868,63.72881356,2.502780868,62.37288136,17.54171301,40.2259887,26.08453838,44.74576271,29.15461624,86.32768362,25.15016685,249.4915254,25.55061179,444.2937853,17.89766407,300.5649718
-4.482758621,75.48022599,1.657397108,51.52542373,2.903225806,69.15254237,17.05228031,36.61016949,25.50611791,42.03389831,29.28809789,93.10734463,,,26.12903226,442.4858757,19.01001112,313.220339
-4.88320356,49.26553672,1.256952169,44.74576271,3.170189099,74.57627119,16.47385984,32.99435028,24.88320356,39.7740113,29.42157953,99.88700565,,,26.61846496,436.6101695,19.98887653,326.3276836
-5.150166852,39.3220339,0.055617353,39.3220339,3.214682981,81.3559322,16.02892102,31.18644068,24.12680756,37.06214689,29.42157953,105.7627119,,,26.84093437,429.3785311,21.19021135,344.8587571
-6.084538376,19.43502825,-2.080088988,32.99435028,3.348164627,99.43502825,15.5839822,29.37853107,23.37041157,35.70621469,29.91101224,1.355932203,,,27.10789766,419.8870056,19.76640712,235.480226
-7.908787542,7.231638418,-3.281423804,29.83050847,3.437152392,118.8700565,,,22.43604004,33.89830508,19.85539488,0.451977401,,,27.33036707,411.299435,17.98665184,227.7966102
-12.71412681,7.231638418,-4.794215795,23.05084746,3.659621802,147.3446328,,,21.41268076,33.44632768,15.00556174,1.807909605,,,27.5083426,401.3559322,15.53948832,221.920904
-13.51501669,7.683615819,-6.084538376,17.62711864,,,,,19.98887653,31.63841808,,,,,27.7753059,389.6045198,13.00333704,213.7853107
-14.18242492,8.587570621,-5.684093437,25.76271186,,,,,18.38709677,31.18644068,,,,,27.86429366,377.4011299,10.77864294,207.9096045
-14.49388209,11.29943503,-5.239154616,35.70621469,,,,,16.51835373,29.37853107,,,,,27.95328142,366.1016949,8.687430478,200.2259887
,,-4.927697442,50.16949153,,,,,15.67296997,29.37853107,,,,,28.04226919,352.9943503,6.996662959,194.8022599
,,-4.660734149,65.98870056,,,,,16.11790879,31.63841808,,,,,28.17575083,341.6949153,5.884315907,189.8305085
,,-4.393770857,75.48022599,,,,,16.60734149,34.35028249,,,,,28.2647386,329.9435028,5.216907675,184.8587571
,,-3.859844271,93.55932203,,,,,17.14126808,37.96610169,,,,,28.39822024,314.5762712,4.638487208,174.4632768
,,,,,,,,17.71968854,43.38983051,,,,,28.48720801,303.2768362,4.327030033,167.6836158
,,,,,,,,18.20912125,47.00564972,,,,,28.53170189,292.8813559,,
,,,,,,,,18.60956618,52.88135593,,,,,28.66518354,280.2259887,,
,,,,,,,,18.96551724,57.85310734,,,,,28.39822024,272.0903955,,
,,,,,,,,19.09899889,62.37288136,,,,,28.04226919,266.6666667,,
,,,,,,,,19.14349277,67.79661017,,,,,27.68631813,262.1468927,,
,,,,,,,,19.54393771,98.07909605,,,,,27.24137931,257.6271186,,
,,,,,,,,,,,,,,26.57397108,254.0112994,,